job_index,worker_id,submit_time,start_time,waiting_time
0,0,35.40770989718752,35.40770989718752,0.0
1,0,80.24517912971976,80.24517912971976,0.0
2,0,88.21541455699249,103.392208291173,15.17679373418052
3,0,101.50699828658156,125.16610427010062,23.659105983519055
4,0,114.0757402481264,147.7103440295458,33.634603781419415
5,0,128.22889289106104,172.07523031342032,43.846337422359284
6,0,140.50383600841784,195.1638249884844,54.65998898006657
7,0,150.51592927973223,216.841835452199,66.32590617246677
8,0,159.55517744392378,239.39613075363638,79.8409533097126
9,0,206.1992359064288,260.9331130515337,54.73387714510491
10,0,229.51673453794302,285.1310076247454,55.61427308680237
11,0,271.1134134961138,308.4269127379656,37.31349924185179
12,0,290.8583627914687,331.65888805496695,40.80052526349823
13,0,316.8354422820454,353.3158025275469,36.480360245501515
14,0,341.0358352507064,377.1543662081957,36.11853095748933
15,0,358.52249925038564,398.992376757741,40.46987750735536
16,0,398.44555721742614,420.6802384387255,22.234681221299354
17,0,426.8922378461113,442.8119956980944,15.919757851983093
18,0,442.8647991535595,465.7371770869494,22.872377933389885
19,0,457.52039463603836,486.7848050128222,29.264410376783815
20,0,492.78636558912774,509.39772815811637,16.611362568988625
21,0,502.8315427580809,531.3435277472735,28.51198498919257
22,0,569.0987164138958,569.0987164138958,0.0
23,0,582.6991411102587,590.1206833480999,7.421542237841209
24,0,588.0259952227017,614.4587136863872,26.432718463685546
25,0,608.3177990547235,636.6887778400585,28.370978785334955
26,0,617.8709657154869,658.3329068779155,40.461941162428616
27,0,648.5672624979737,680.9794627784893,32.41220028051555
28,0,656.206182274259,702.5152126907512,46.30903041649219
29,0,679.3435955264341,723.6825465320751,44.33895100564098
30,0,700.400401642563,744.5801562427685,44.179754600205456
31,0,732.3725999291605,767.0322231411144,34.659623211953885
32,0,759.551811224332,788.3211430668041,28.76933184247207
33,0,810.4998302272267,811.8302232383892,1.3303930111625277
34,0,816.2998993918103,833.4459783195659,17.14607892775564
35,0,852.0013189877219,855.894547855775,3.893228868053143
36,0,868.6657020803198,877.366598045747,8.700895965427208
37,0,909.4684681133381,909.4684681133381,0.0
38,0,925.3190970057396,932.1172141269794,6.798117121239784
39,0,1042.0148411134178,1042.0148411134178,0.0
40,0,1047.7835676618583,1062.6320014336998,14.848433771841428
41,0,1075.769703738279,1083.7669337132866,7.997229975007485
42,0,1102.2704894813542,1106.274962935775,4.004473454420804
43,0,1124.045249576808,1129.0151448586876,4.969895281879644
44,0,1153.9338472409095,1153.9338472409095,0.0
45,0,1161.0428746806365,1175.803908638462,14.761033957825475
46,0,1172.7832486084644,1196.8525765461768,24.069327937712387
47,0,1184.7591803379262,1220.3703735394324,35.61119320150624
48,0,1186.7783533443576,1243.1431732697333,56.36481992537574
49,0,1197.1160981299108,1265.1109660191382,67.99486788922741
50,0,1226.5412589040905,1287.067685894474,60.52642699038347
51,0,1247.4426447252617,1309.884974054798,62.44232932953628
52,0,1304.1541902980682,1334.1448345703925,29.99064427232429
53,0,1327.2749780222966,1355.4914107842292,28.216432761932538
54,0,1385.9900716158702,1385.9900716158702,0.0
55,0,1446.1456131256793,1446.1456131256793,0.0
56,0,1480.6539520586134,1480.6539520586134,0.0
57,0,1502.298495377445,1504.6952328050734,2.3967374276282953
58,0,1529.441578239786,1529.441578239786,0.0
59,0,1571.1035192585894,1571.1035192585894,0.0
60,0,1584.416172301878,1592.598774252028,8.182601950150001
61,0,1620.8864318339322,1620.8864318339322,0.0
62,0,1649.7285260999643,1649.7285260999643,0.0
63,0,1672.90038399735,1672.90038399735,0.0
64,0,1702.4534686419313,1702.4534686419313,0.0
65,0,1737.0782474012383,1737.0782474012383,0.0
66,0,1744.4742922698756,1758.37846121502,13.90416894514442
67,0,1773.226780479178,1780.3159874410637,7.089206961885793
68,0,1787.54718721158,1801.3674837083825,13.820296496802484
69,0,1824.4087095352118,1824.4087095352118,0.0
70,0,1871.3544946937566,1871.3544946937566,0.0
71,0,1880.269013029302,1892.8635844020848,12.594571372782866
72,0,1906.3794587769237,1914.3055623798375,7.926103602913827
73,0,1917.0361890993665,1935.894176605225,18.857987505858546
74,0,1939.806578433891,1956.8352140216832,17.028635587792223
75,0,1968.8146733843955,1979.784221055985,10.969547671589453
76,0,1988.1739635442952,2001.558636787415,13.384673243119778
77,0,1997.3536530670794,2025.275066020966,27.921412953886602
78,0,2015.2589931995676,2048.5501142768862,33.29112107731862
79,0,2020.9079377160192,2071.4880648880007,50.58012717198153
80,0,2024.2272775595943,2093.016135814667,68.78885825507268
81,0,2040.2783921222765,2115.7776440410616,75.49925191878515
82,0,2092.979425095605,2137.6987375049594,44.71931240935419
83,0,2114.805654682334,2160.131764533997,45.32610985166275
84,0,2142.5491246295783,2183.54987871933,41.00075408975181
85,0,2147.3848332813727,2205.3446224956515,57.95978921427877
86,0,2158.085211594993,2227.7455858020785,69.66037420708562
87,0,2189.101912929765,2249.1276563434603,60.02574341369518
88,0,2276.7532177084518,2276.7532177084518,0.0
89,0,2297.414727689758,2299.0772287958694,1.6625011061114492
90,0,2342.8366659981375,2342.8366659981375,0.0
91,0,2365.7185999556505,2366.1759535175925,0.45735356194199994
92,0,2379.549290962726,2388.478819499648,8.929528536922135
93,0,2401.4302013693773,2410.365246663726,8.935045294348583
94,0,2426.9994108229344,2434.172883639968,7.173472817033598
95,0,2459.8254426209164,2459.8254426209164,0.0
96,0,2473.9723254338696,2481.5802312580777,7.607905824208046
97,0,2526.863028656958,2526.863028656958,0.0
98,0,2539.353343059622,2547.892985236166,8.539642176544021
