worker_id,submit_time,start_time,waiting_time
0,21.381645083218007,21.381645083218007,0.0
0,97.92955395009304,97.92955395009304,0.0
0,155.40579727353662,155.40579727353662,0.0
0,227.8232058724515,227.8232058724515,0.0
0,416.7131508474931,416.7131508474931,0.0
0,551.7814993715057,551.7814993715057,0.0
0,631.0675163356633,631.0675163356633,0.0
0,735.0781111602789,735.0781111602789,0.0
0,872.3521022052886,872.3521022052886,0.0
0,958.0057725934232,958.0057725934232,0.0
0,1055.2289765144765,1055.2289765144765,0.0
0,1178.093237850233,1178.093237850233,0.0
0,1235.2435026535843,1235.2435026535843,0.0
0,1326.1975175219593,1326.1975175219593,0.0
0,1438.57198315308,1438.57198315308,0.0
0,1584.1161587892263,1584.1161587892263,0.0
0,1634.033261563361,1634.033261563361,0.0
0,1682.6349034634864,1682.6349034634864,0.0
0,1767.8608281321585,1767.8608281321585,0.0
0,1886.924206361208,1886.924206361208,0.0
0,2065.918749219056,2065.918749219056,0.0
0,2185.507658118538,2185.507658118538,0.0
0,2326.2897540019817,2326.2897540019817,0.0
0,2410.202815416132,2410.202815416132,0.0
0,2445.9667200813988,2445.9667200813988,0.0
0,2544.751386509972,2544.751386509972,0.0
0,2642.5937032526417,2642.5937032526417,0.0
0,2751.736505459999,2751.736505459999,0.0
0,2814.6026399725856,2814.6026399725856,0.0
0,2893.8431275767516,2893.8431275767516,0.0
0,3030.3114434581335,3030.3114434581335,0.0
0,3107.3410811422877,3107.3410811422877,0.0
0,3183.801932524457,3183.801932524457,0.0
0,3330.300295440811,3330.300295440811,0.0
1,57.988573919459284,57.988573919459284,0.0
1,111.52909227888603,111.52909227888603,0.0
1,156.86740571437394,156.86740571437394,0.0
1,334.5999181157382,334.5999181157382,0.0
1,502.2234628787809,502.2234628787809,0.0
1,561.48686121887,561.48686121887,0.0
1,680.5808816401437,680.5808816401437,0.0
1,780.390596294183,780.390596294183,0.0
1,892.125598314682,892.125598314682,0.0
1,966.9907060023387,966.9907060023387,0.0
1,1090.8530754025505,1090.8530754025505,0.0
1,1189.6531328057883,1189.6531328057883,0.0
1,1252.2679342377437,1252.2679342377437,0.0
1,1362.7676561988017,1362.7676561988017,0.0
1,1515.1814078602679,1515.1814078602679,0.0
1,1588.2064731017965,1588.2064731017965,0.0
1,1646.8480565113164,1646.8480565113164,0.0
1,1701.391732175887,1701.391732175887,0.0
1,1781.0527779979216,1781.0527779979216,0.0
1,1960.832831556133,1960.832831556133,0.0
1,2072.1502000430414,2072.1502000430414,0.0
1,2199.4977257671203,2199.4977257671203,0.0
1,2353.9440156663295,2353.9440156663295,0.0
1,2427.5249212527015,2427.5249212527015,0.0
1,2466.9391925506293,2466.9391925506293,0.0
1,2566.6682151939417,2566.6682151939417,0.0
1,2678.32123165191,2678.32123165191,0.0
1,2762.278297960752,2762.278297960752,0.0
1,2836.6062593042925,2836.6062593042925,0.0
1,2914.387778756625,2914.387778756625,0.0
1,3062.3969761017597,3062.3969761017597,0.0
1,3155.80158226135,3155.80158226135,0.0
1,3277.292031287515,3277.292031287515,0.0
2,74.65555762491967,74.65555762491967,0.0
2,140.35502247699688,140.35502247699688,0.0
2,186.72951391855187,186.72951391855187,0.0
2,344.51549034267447,344.51549034267447,0.0
2,539.5035570481245,539.5035570481245,0.0
2,597.4069069487267,597.4069069487267,0.0
2,728.1469759373595,728.1469759373595,0.0
2,828.9135590360163,828.9135590360163,0.0
2,941.290778774191,941.290778774191,0.0
2,1006.8807746515151,1006.8807746515151,0.0
2,1165.6210584721564,1165.6210584721564,0.0
2,1203.1952194169046,1203.1952194169046,0.0
2,1268.6652270395157,1268.6652270395157,0.0
2,1419.401113928482,1419.401113928482,0.0
2,1562.7436359454466,1562.7436359454466,0.0
2,1605.5964044412246,1605.5964044412246,0.0
2,1656.160331587444,1656.160331587444,0.0
2,1722.1344867556495,1722.1344867556495,0.0
2,1833.090371420756,1833.090371420756,0.0
2,1995.0904613128655,1995.0904613128655,0.0
2,2176.343002524607,2176.343002524607,0.0
2,2266.0046066980285,2266.0046066980285,0.0
2,2379.2203457292703,2379.2203457292703,0.0
2,2442.672368179449,2442.672368179449,0.0
2,2500.0918663243788,2500.0918663243788,0.0
2,2586.2756409087187,2586.2756409087187,0.0
2,2724.0551175282467,2724.0551175282467,0.0
2,2776.6732197879705,2776.6732197879705,0.0
2,2884.05305273544,2884.05305273544,0.0
2,3013.3249287497333,3013.3249287497333,0.0
2,3081.9599696276737,3081.9599696276737,0.0
2,3162.880898493785,3162.880898493785,0.0
2,3318.922653211196,3318.922653211196,0.0
