submit_time,start_time,waiting_time
21.381645083218007,21.381645083218007,0.0
57.988573919459284,57.988573919459284,0.0
74.65555762491967,81.13560308091253,6.480045455992865
97.92955395009304,102.90949905984014,4.979945109747106
111.52909227888603,125.45373881928533,13.924646540399308
140.35502247699688,149.81862510315983,9.463602626162952
155.40579727353662,172.90721977822392,17.501422504687298
156.86740571437394,194.58523024193852,37.717824527564574
186.72951391855187,217.1395255433759,30.410011624824023
227.8232058724515,238.67650784127324,10.85330196882174
334.5999181157382,334.5999181157382,0.0
344.51549034267447,357.8958232289584,13.380332886283952
416.7131508474931,416.7131508474931,0.0
502.2234628787809,502.2234628787809,0.0
539.5035570481245,539.5035570481245,0.0
551.7814993715057,561.3415675976698,9.560068226164162
561.48686121887,583.0294292786543,21.542568059784344
597.4069069487267,605.1611865380232,7.754279589296516
631.0675163356633,631.0675163356633,0.0
680.5808816401437,680.5808816401437,0.0
728.1469759373595,728.1469759373595,0.0
735.0781111602789,750.0927755265166,15.01466436623764
780.390596294183,780.390596294183,0.0
828.9135590360163,828.9135590360163,0.0
872.3521022052886,872.3521022052886,0.0
892.125598314682,894.5821663589599,2.456568044277901
941.290778774191,941.290778774191,0.0
958.0057725934232,963.9373346747648,5.9315620813415535
966.9907060023387,985.4730845870267,18.482378584688036
1006.8807746515151,1006.8807746515151,0.0
1055.2289765144765,1055.2289765144765,0.0
1090.8530754025505,1090.8530754025505,0.0
1165.6210584721564,1165.6210584721564,0.0
1178.093237850233,1189.1301386437415,11.036900793508494
1189.6531328057883,1210.7458937249182,21.092760919129887
1203.1952194169046,1233.1944632611273,29.999243844222747
1235.2435026535843,1254.6665134510993,19.423010797514962
1252.2679342377437,1276.3632338128089,24.095299575065155
1268.6652270395157,1299.0119798264502,30.34675278693453
1326.1975175219593,1326.1975175219593,0.0
1362.7676561988017,1362.7676561988017,0.0
1419.401113928482,1419.401113928482,0.0
1438.57198315308,1441.9091431509703,3.3371599978902395
1515.1814078602679,1515.1814078602679,0.0
1562.7436359454466,1562.7436359454466,0.0
1584.1161587892263,1584.613697342999,0.49753855377275613
1588.2064731017965,1605.662365250714,17.455892148917428
1605.5964044412246,1629.1801622439696,23.583757802744913
1634.033261563361,1651.9529619742705,17.9197004109094
1646.8480565113164,1673.9207547236754,27.072698212359
1656.160331587444,1695.877474599011,39.71714301156703
1682.6349034634864,1718.6947627593352,36.05985929584881
1701.391732175887,1742.9546232749296,41.562891099042645
1722.1344867556495,1764.3011994887663,42.16671273311681
1767.8608281321585,1785.1681120921446,17.30728395998608
1781.0527779979216,1806.865506701596,25.81272870367434
1833.090371420756,1833.090371420756,0.0
1886.924206361208,1886.924206361208,0.0
1960.832831556133,1960.832831556133,0.0
1995.0904613128655,1995.0904613128655,0.0
2065.918749219056,2065.918749219056,0.0
2072.1502000430414,2088.37657845604,16.226378412998656
2176.343002524607,2176.343002524607,0.0
2185.507658118538,2199.2650091316627,13.757351013124662
2199.4977257671203,2220.7121026184486,21.214376851328325
2266.0046066980285,2266.0046066980285,0.0
2326.2897540019817,2326.2897540019817,0.0
2353.9440156663295,2353.9440156663295,0.0
2379.2203457292703,2379.2203457292703,0.0
2410.202815416132,2410.202815416132,0.0
2427.5249212527015,2432.7816194322454,5.256698179543946
2442.672368179449,2454.2907091405737,11.618340961124431
2445.9667200813988,2475.7326871183263,29.765967036927577
2466.9391925506293,2497.321301343714,30.382108793084626
2500.0918663243788,2518.262338760172,18.170472435793272
2544.751386509972,2544.751386509972,0.0
2566.6682151939417,2566.6682151939417,0.0
2586.2756409087187,2590.3846444274927,4.109003518773989
2642.5937032526417,2642.5937032526417,0.0
2678.32123165191,2678.32123165191,0.0
2724.0551175282467,2724.0551175282467,0.0
2751.736505459999,2751.736505459999,0.0
2762.278297960752,2773.657598923897,11.379300963144942
2776.6732197879705,2796.0906259529343,19.417406164963722
2814.6026399725856,2819.5087401382675,4.906100165681892
2836.6062593042925,2841.303483914589,4.697224610296416
2884.05305273544,2884.05305273544,0.0
2893.8431275767516,2905.4351232768217,11.591995700070129
2914.387778756625,2926.574306559674,12.186527803049103
3013.3249287497333,3013.3249287497333,0.0
3030.3114434581335,3034.4964015375904,4.184958079456919
3062.3969761017597,3062.3969761017597,0.0
3081.9599696276737,3084.6998420838154,2.739872456141711
3107.3410811422877,3107.3410811422877,0.0
3155.80158226135,3155.80158226135,0.0
3162.880898493785,3176.497697993543,13.616799499758145
3183.801932524457,3198.2524866307044,14.450554106247637
3277.292031287515,3277.292031287515,0.0
3318.922653211196,3318.922653211196,0.0
3330.300295440811,3342.0255093704063,11.725213929595157
