task_id,submit_time,first_start_time,completion_time,waiting_time,turnaround_time
0,2.261998539758424,840.0194115554247,865.6987073336992,837.7574130156662,863.4367087939407
1,14.502699837540025,865.6987073336992,888.8457364951524,851.1960074961592,874.3430366576124
2,17.116636222572403,888.8457364951524,910.61963247408,871.72910027258,893.5029962515076
3,26.24772579493672,910.61963247408,933.1638722335252,884.3719066791433,906.9161464385885
4,34.0536954443275,933.1638722335252,957.5287585173998,899.1101767891978,923.4750630730723
5,36.86088899195782,957.5287585173998,980.6173531924638,920.6678695254419,943.756464200506
6,40.061026823434474,980.6173531924638,1002.2953636561784,940.5563263690294,962.234336832744
7,53.10418810185504,1002.2953636561784,1024.8496589576157,949.1911755543234,971.7454708557607
8,54.146658068640356,1024.8496589576157,1046.386641255513,970.7030008889753,992.2399831868727
9,54.54130244643758,1046.386641255513,1070.5845358287247,991.8453388090754,1016.0432333822871
10,70.03310410135853,1070.5845358287247,1093.880440941945,1000.5514317273662,1023.8473368405864
11,74.93546692996422,1093.880440941945,1117.1124162589463,1018.9449740119807,1042.1769493289821
12,94.33715205286093,1117.1124162589463,1138.7693307315262,1022.7752642060854,1044.4321786786652
13,95.9360110010178,1138.7693307315262,1162.607894412175,1042.8333197305085,1066.6718834111573
14,120.64248496730902,1162.607894412175,1184.4459049617203,1041.965409444866,1063.8034199944113
15,126.92225593800629,1184.4459049617203,1206.1337666427048,1057.523649023714,1079.2115107046984
16,127.28494814995544,1206.1337666427048,1228.2655239020737,1078.8488184927494,1100.9805757521183
17,136.20804727509116,1228.2655239020737,1251.1907052909287,1092.0574766269826,1114.9826580158376
18,142.67070673713508,1251.1907052909287,1272.2383332168015,1108.5199985537936,1129.5676264796664
19,151.36206429704077,1272.2383332168015,1294.8512563620957,1120.8762689197606,1143.4891920650548
20,158.83335917145223,1294.8512563620957,1316.7970559512528,1136.0178971906435,1157.9636967798006
21,179.66839397391058,1316.7970559512528,1338.1421520625504,1137.1286619773423,1158.47375808864
22,179.8057548533801,1338.1421520625504,1359.1641189967545,1158.3363972091702,1179.3583641433743
23,182.2641536079154,1359.1641189967545,1383.5021493350418,1176.899965388839,1201.2379957271264
24,205.80953371457477,1383.5021493350418,1405.7322134887131,1177.692615620467,1199.9226797741383
25,218.2809173417068,1405.7322134887131,1427.3763425265702,1187.4512961470064,1209.0954251848634
26,231.2833235059456,1427.3763425265702,1450.022898427144,1196.0930190206245,1218.7395749211983
27,240.7335892220746,1450.022898427144,1471.5586483394059,1209.2893092050692,1230.8250591173312
28,241.13703931209636,1471.5586483394059,1492.7259821807297,1230.4216090273094,1251.5889428686332
29,245.710052478365,1492.7259821807297,1513.623591891423,1247.0159297023647,1267.913539413058
30,246.10165761277474,1513.623591891423,1536.075658789769,1267.5219342786484,1289.9740011769943
31,265.2604937767536,1536.075658789769,1557.3645787154587,1270.8151650130153,1292.104084938705
32,276.69434233891,1557.3645787154587,1580.8736588870438,1280.6702363765487,1304.1793165481338
33,290.35479936568436,1580.8736588870438,1602.4894139682206,1290.5188595213594,1312.1346146025362
34,296.24773698654525,1602.4894139682206,1624.9379835044297,1306.2416769816753,1328.6902465178844
35,312.9338162193617,1624.9379835044297,1646.4100336944016,1312.004167285068,1333.47621747504
36,323.5725918517844,1646.4100336944016,1668.1067540561112,1322.8374418426172,1344.5341622043268
37,342.09915269398766,1668.1067540561112,1690.7555000697525,1326.0076013621235,1348.6563473757649
38,342.1159965322476,1690.7555000697525,1711.9263079081925,1348.6395035375049,1369.8103113759448
39,346.95353615788093,1711.9263079081925,1732.5434682284745,1364.9727717503115,1385.5899320705935
40,352.4097331043319,1732.5434682284745,1753.6784005080613,1380.1337351241425,1401.2686674037293
41,368.89999494223935,1753.6784005080613,1776.1864297305497,1384.778405565822,1407.2864347883103
42,373.6408343640732,1776.1864297305497,1798.9266116534623,1402.5455953664764,1425.285777289389
43,392.8263351799525,1798.9266116534623,1820.1117844497116,1406.10027647351,1427.2854492697593
44,405.996304408187,1820.1117844497116,1841.9818458472641,1414.1154800415247,1435.9855414390772
45,412.3620691530237,1841.9818458472641,1863.030513754979,1429.6197766942405,1450.6684446019553
46,412.8385005351676,1863.030513754979,1886.5483107482346,1450.1920132198113,1473.709810213067
47,436.12772922261166,1886.5483107482346,1909.3211104785355,1450.420581525623,1473.193381255924
48,442.4525653936093,1909.3211104785355,1931.2889032279404,1466.8685450849262,1488.836337834331
49,455.64779519192814,1931.2889032279404,1953.245623103276,1475.6411080360122,1497.5978279113478
50,467.02254346052223,1953.245623103276,1976.0629112636002,1486.2230796427539,1509.040367803078
51,472.6422144371333,1976.0629112636002,2000.3227717791947,1503.4206968264668,1527.6805573420613
52,476.31872450538424,2000.3227717791947,2021.6693479930314,1524.0040472738106,1545.3506234876472
53,500.55071466086173,2021.6693479930314,2042.5362605964096,1521.1186333321696,1541.9855459355479
54,501.7363742806655,2042.5362605964096,2064.233655205861,1540.799886315744,1562.4972809251954
55,512.2509471514411,2064.233655205861,2085.9525420581253,1551.9827080544198,1573.7015949066842
56,515.0240482267533,2085.9525420581253,2109.9938228045853,1570.9284938313722,1594.9697745778321
57,525.8348299621698,2109.9938228045853,2133.371192446843,1584.1589928424155,1607.5363624846732
58,526.2276666829666,2133.371192446843,2155.184600583211,1607.1435257638764,1628.9569339002442
59,541.472003516428,2155.184600583211,2176.6798555766495,1613.7125970667828,1635.2078520602215
60,543.1402195233883,2176.6798555766495,2199.1376848136338,1633.5396360532613,1655.9974652902456
61,568.9220364314355,2199.1376848136338,2220.321542969838,1630.2156483821982,1651.3995065384024
62,572.7025260523977,2220.321542969838,2243.2435495768937,1647.6190169174401,1670.5410235244958
63,595.7579402185414,2243.2435495768937,2264.6906430636795,1647.4856093583521,1668.932702845138
64,606.1998514784465,2264.6906430636795,2285.717418900624,1658.4907915852332,1679.5175674221778
65,607.3734892815237,2285.717418900624,2307.017632714406,1678.3439296191004,1699.6441434328822
66,610.6781052704421,2307.017632714406,2328.9551589404496,1696.3395274439638,1718.2770536700075
67,636.721747386078,2328.9551589404496,2350.0066552077683,1692.2334115543715,1713.2849078216902
68,639.6734589500778,2350.0066552077683,2372.78197168459,1710.3331962576904,1733.1085127345123
69,649.0227605935506,2372.78197168459,2395.3607757007035,1723.7592110910396,1746.3380151071528
70,653.2468631762596,2395.3607757007035,2416.8698654090317,1742.113912524444,1763.6230022327723
71,655.3035829928895,2416.8698654090317,2438.3118433867844,1761.5662824161423,1783.008260393895
72,661.8142719319487,2438.3118433867844,2459.900457612172,1776.4975714548357,1798.0861856802233
73,664.4721232752755,2459.900457612172,2480.84149502863,1795.4283343368966,1816.3693717533547
74,673.7826160808826,2480.84149502863,2503.790502062932,1807.0588789477474,1830.0078859820492
75,684.4452464991037,2503.790502062932,2525.564917794362,1819.3452555638282,1841.1196712952583
76,692.6535339220987,2525.564917794362,2549.281347027913,1832.9113838722633,1856.6278131058143
77,702.1293187769079,2549.281347027913,2572.5563952838334,1847.152028251005,1870.4270765069255
78,721.3727835805064,2572.5563952838334,2595.494345894948,1851.183611703327,1874.1215623144415
79,727.6231192799723,2595.494345894948,2617.022416821614,1867.8712266149755,1889.3992975416418
80,728.4262865787172,2617.022416821614,2639.7839250480088,1888.5961302428968,1911.3576384692915
81,730.8662372984206,2639.7839250480088,2661.7050185119065,1908.9176877495881,1930.8387812134858
82,737.6207924648792,2661.7050185119065,2684.138045540944,1924.0842260470272,1946.5172530760647
83,746.7591064976511,2684.138045540944,2707.556159726277,1937.3789390432928,1960.797053228626
84,750.0451122014541,2707.556159726277,2729.3509035025986,1957.511047524823,1979.3057913011444
85,754.5745011492496,2729.3509035025986,2751.7518668090256,1974.776402353349,1997.1773656597761
86,754.8437986998448,2751.7518668090256,2773.1339373504075,1996.908068109181,2018.2901386505628
87,759.2065773047435,2773.1339373504075,2794.2731206332596,2013.927360045664,2035.0665433285162
88,761.4107952748406,2794.2731206332596,2816.597131720677,2032.8623253584192,2055.186336445837
89,763.2791040567769,2816.597131720677,2837.7686045085343,2053.3180276639005,2074.4895004517575
90,771.9015290932422,2837.7686045085343,2861.1078920279892,2065.867075415292,2089.206362934747
91,795.7998321960523,2861.1078920279892,2883.410758010045,2065.308059831937,2087.6109258139927
92,798.2710086327232,2883.410758010045,2905.2971851741227,2085.1397493773216,2107.0261765413993
93,798.5989743728969,2905.2971851741227,2929.1048221503647,2106.6982108012257,2130.505847777468
94,803.8651053674067,2929.1048221503647,2949.8009378825577,2125.239716782958,2145.935832515151
