job_index,worker_id,submit_time,start_time,waiting_time
0,0,38.85870507875021,38.85870507875021,0.0
1,0,40.10283952280017,64.53800085702474,24.435161334224574
2,0,118.33273121591334,118.33273121591334,0.0
3,0,168.17900761569305,168.17900761569305,0.0
4,0,180.25231745647108,190.72324737513824,10.470929918667167
5,0,184.66355933939354,215.08813365901275,30.42457431961921
6,0,194.99191411949914,238.17672833407684,43.1848142145777
7,0,216.1175021334656,259.85473879779147,43.73723666432588
8,0,235.50398043259207,282.40903409922885,46.905053666636775
9,0,239.93973334263515,303.9460163971262,64.00628305449104
10,0,250.31933002975828,328.14391097033786,77.82458094057958
11,0,265.4347682328769,351.43981608355807,86.0050478506812
12,0,329.49376449897863,374.6717914005594,45.17802690158078
13,0,418.73092722109044,418.73092722109044,0.0
14,0,427.79223518255316,442.56949090173924,14.777255719186087
15,0,457.88780367508105,464.40750145128453,6.519697776203486
16,0,458.11382218833415,486.09536313226903,27.981540943934874
17,0,490.78398350583075,508.2271203916379,17.443136885807178
18,0,519.7762605768171,531.152301780493,11.376041203675868
19,0,533.6447800656485,552.1999297063658,18.555149640717218
20,0,555.5816823414505,574.81285285166,19.231170510209495
21,0,600.4416352417278,600.4416352417278,0.0
22,0,630.405367177323,630.405367177323,0.0
23,0,658.3522429487962,658.3522429487962,0.0
24,0,710.7395457058349,710.7395457058349,0.0
25,0,722.8602469141929,732.9696098595061,10.10936294531325
26,0,725.1786718468107,754.6137388973632,29.435067050552448
27,0,733.7717997850658,777.2602947979369,43.48849501287111
28,0,755.8133020349801,798.7960447101989,42.98274267521879
29,0,756.4051814449085,819.9633785515227,63.558197106614216
30,0,799.777389910547,840.8609882622161,41.08359835166914
31,0,829.7868733131191,863.313055160562,33.5261818474429
32,0,869.7939108267651,884.6019750862517,14.808064259486628
33,0,918.4221566320145,918.4221566320145,0.0
34,0,931.3791911569601,940.0379117131913,8.658720556231174
35,0,934.4048270138497,962.4864812494004,28.081654235550673
36,0,938.4765084107011,983.9585314393723,45.48202302867128
37,0,940.7500756062769,1005.6552518010819,64.905176194805
38,0,979.6881285717573,1028.3039978147233,48.61586924296603
39,0,982.786684270131,1049.4748056531632,66.68812138303224
40,0,1012.2003619699541,1070.0919659734452,57.891604003491125
41,0,1042.5374104162538,1091.226898253032,48.6894878367782
42,0,1050.7215249650287,1113.7349274755204,63.01340251049169
43,0,1063.017697406648,1136.475109398433,73.45741199178497
44,0,1104.6704104244382,1157.6602821946824,52.989871770244235
45,0,1131.7699841404353,1179.5303435922349,47.76035945179956
46,0,1132.5712893836412,1200.5790114999497,68.00772211630851
47,0,1150.5710469307853,1224.0968084932053,73.52576156242003
48,0,1178.0657185146906,1246.8696082235062,68.80388970881563
49,0,1178.6170534454939,1268.8374009729112,90.22034752741729
50,0,1186.089268521876,1290.7941208482468,104.70485232637088
51,0,1199.4940412541614,1313.611409008571,114.11736775440954
52,0,1224.569080286441,1337.8712695241654,113.3021892377244
53,0,1247.4081740333863,1359.217845738002,111.80967170461577
54,0,1251.0812050016596,1380.0847583413804,129.00355333972084
55,0,1265.9164695716497,1401.7821529508317,135.86568337918197
56,0,1273.173872378282,1423.501039803096,150.32716742481398
57,0,1279.5409652032372,1447.542320549556,168.00135534631886
58,0,1300.3622159252725,1470.9196901918137,170.55747426654125
59,0,1327.8386729259867,1492.7330983281815,164.89442540219488
60,0,1335.0108759978343,1514.2283533216203,179.21747732378594
61,0,1351.6587646885807,1536.6861825586045,185.02741787002378
62,0,1364.6116576976563,1557.8700407148087,193.25838301715248
63,0,1420.441626282038,1580.7920473218644,160.35042103982641
64,0,1463.6010970150996,1602.2391408086503,138.63804379355065
65,0,1472.0336383488975,1623.2659166455949,151.23227829669736
66,0,1474.1832335340887,1644.5661304593766,170.38289692528792
67,0,1477.8183612526727,1666.5036566854203,188.68529543274758
68,0,1501.9621885455072,1687.555152952739,185.59296440723188
69,0,1508.9252500388875,1710.330469429561,201.40521939067344
70,0,1521.8599104891748,1732.9092734456742,211.0493629564994
71,0,1567.7090115687872,1754.4183631540025,186.70935158521524
72,0,1582.7702658987685,1775.8603411317551,193.0900752329867
73,0,1588.0156662376119,1797.4489553571427,209.43328911953085
74,0,1590.8645664088015,1818.3899927736009,227.5254263647994
75,0,1736.645288437848,1841.3389998079026,104.69371137005464
76,0,1755.7769503495547,1863.1134155393327,107.33646518977798
77,0,1786.706349928488,1886.8298447728837,100.12349484439574
78,0,1886.550032251188,1910.104893028804,23.554860777616113
79,0,1890.3910170649513,1933.0428436399186,42.651826574967345
80,0,1906.4829385359615,1954.5709145665849,48.087976030623395
81,0,1931.6172290576142,1977.3324227929795,45.71519373536535
82,0,1965.2773937917154,1999.2535162568772,33.97612246516178
83,0,1976.2129603184392,2021.6865432859147,45.47358296747552
84,0,1981.1011325298907,2045.104657471248,64.00352494135723
85,0,1998.1515702590443,2066.8994012475696,68.74783098852527
86,0,2046.335241917755,2089.3003645539966,42.96512263624163
87,0,2062.364377625792,2110.6824350953784,48.31805746958662
88,0,2062.4245438741546,2131.8216183782306,69.39707450407604
89,0,2079.6025817793884,2154.145629465648,74.5430476862598
90,0,2136.704524663621,2175.3171022535053,38.61257758988404
91,0,2148.9781763898554,2198.65638977296,49.678213383104776
92,0,2167.3032085182067,2220.959255755016,53.65604723680917
93,0,2207.6099259749194,2242.8456829190936,35.23575694417423
94,0,2215.1076667880056,2266.6533198953357,51.545653107330054
95,0,2218.4079567957815,2287.3494356275287,68.94147883174719
96,0,2226.378915453974,2309.10422426469,82.72530881071589
