task_id,submit_time,first_start_time,completion_time,waiting_time,turnaround_time
0,7.698940669914171,3164.6705364363347,3190.3498322146093,3156.9715957664207,3182.6508915446952
1,76.50351202092668,3190.3498322146093,3213.4968613760625,3113.8463201936825,3136.9933493551357
2,92.92763904423087,3213.4968613760625,3235.27075735499,3120.5692223318315,3142.343118310759
3,97.38317554326117,3235.27075735499,3257.8149971144353,3137.887581811729,3160.431821571174
4,110.52616500925065,3257.8149971144353,3282.17988339831,3147.2888321051846,3171.653718389059
5,113.91864283941362,3282.17988339831,3305.268478073374,3168.261240558896,3191.34983523396
6,174.3556070578539,3305.268478073374,3326.9464885370885,3130.91287101552,3152.5908814792347
7,189.4470323990235,3326.9464885370885,3349.500783838526,3137.499456138065,3160.0537514395023
8,191.1699346298383,3349.500783838526,3371.037766136423,3158.3308492086876,3179.867831506585
9,243.92917596471145,3371.037766136423,3395.235660709635,3127.108590171712,3151.3064847449236
10,247.98170554369233,3395.235660709635,3418.531565822855,3147.2539551659424,3170.5498602791627
11,259.35626602797913,3418.531565822855,3441.7635411398564,3159.175299794876,3182.4072751118774
12,280.25286809775076,3441.7635411398564,3463.4204556124364,3161.5106730421057,3183.1675875146857
13,309.44003758481176,3463.4204556124364,3487.259019293085,3153.9804180276246,3177.8189817082734
14,322.2392213156599,3487.259019293085,3509.0970298426305,3165.0197979774252,3186.8578085269705
15,373.5895056574544,3509.0970298426305,3530.784891523615,3135.507524185176,3157.1953858661604
16,403.96475962556434,3530.784891523615,3552.916648782984,3126.8201318980505,3148.9518891574194
17,427.6468898674363,3552.916648782984,3575.841830171839,3125.2697589155478,3148.1949403044027
18,433.09595492357954,3575.841830171839,3596.8894580977117,3142.7458752482594,3163.793503174132
19,457.5754711371841,3596.8894580977117,3619.502381243006,3139.3139869605275,3161.9269101058217
20,618.0039952763331,3619.502381243006,3641.448180832163,3001.4983859666727,3023.44418555583
21,624.150475111475,3641.448180832163,3662.7932769434606,3017.297705720688,3038.6428018319857
22,676.9773314626901,3662.7932769434606,3683.8152438776647,2985.8159454807706,3006.8379124149747
23,677.0776126691592,3683.8152438776647,3708.153274215952,3006.7376312085053,3031.0756615467926
24,708.0540196302572,3708.153274215952,3730.3833383696233,3000.099254585695,3022.329318739366
25,752.4125665742416,3730.3833383696233,3752.0274674074803,2977.9707717953816,2999.6149008332386
26,774.9640560890434,3752.0274674074803,3774.674023308054,2977.063411318437,2999.7099672190107
27,822.1216670851604,3774.674023308054,3796.209773220316,2952.5523562228936,2974.0881061351556
28,843.0001131861274,3796.209773220316,3817.37710706164,2953.209660034189,2974.3769938755127
29,864.2660758937178,3817.37710706164,3838.2747167723332,2953.111031167922,2974.0086408786156
30,885.3456084908488,3838.2747167723332,3860.726783670679,2952.9291082814843,2975.3811751798303
31,889.1377881430956,3860.726783670679,3882.015703596369,2971.5889955275834,2992.877915453273
32,930.0559733570989,3882.015703596369,3905.524783767954,2951.95973023927,2975.468810410855
33,937.6215771734583,3905.524783767954,3927.1405388491307,2967.9032065944957,2989.5189616756725
34,1012.5530901970938,3927.1405388491307,3949.58910838534,2914.587448652037,2937.036018188246
35,1028.743933852096,3949.58910838534,3971.0611585753118,2920.845174533244,2942.317224723216
36,1128.7310052648597,3971.0611585753118,3992.7578789370214,2842.3301533104523,2864.026873672162
37,1140.9347918657097,3992.7578789370214,4015.4066249506627,2851.8230870713114,2874.471833084953
38,1173.2543417025174,4015.4066249506627,4036.5774327891027,2842.152283248145,2863.323091086585
39,1208.8084900200067,4036.5774327891027,4057.1945931093846,2827.7689427690957,2848.3861030893777
40,1281.742974379891,4057.1945931093846,4078.3295253889714,2775.451618729494,2796.5865510090807
41,1284.162621341265,4078.3295253889714,4100.83755461146,2794.1669040477063,2816.674933270195
42,1286.564602909069,4100.83755461146,4123.577736534373,2814.2729517023913,2837.013133625304
43,1312.0116928049413,4123.577736534373,4144.762909330622,2811.566043729432,2832.7512165256812
44,1315.0946830306061,4144.762909330622,4166.632970728175,2829.668226300016,2851.5382876975686
45,1320.6029800361644,4166.632970728175,4187.68163863589,2846.0299906920104,2867.0786585997253
46,1333.0182329132042,4187.68163863589,4211.199435629145,2854.6634057226856,2878.1812027159413
47,1333.2945096357053,4211.199435629145,4233.972235359446,2877.90492599344,2900.677725723741
48,1390.0254007784627,4233.972235359446,4255.940028108851,2843.9468345809837,2865.9146273303886
49,1402.8011468155703,4255.940028108851,4277.896747984187,2853.138881293281,2875.0956011686167
50,1713.351656932252,4277.896747984187,4300.714036144511,2564.545091051935,2587.362379212259
51,1719.5374086719653,4300.714036144511,4324.973896660105,2581.1766274725455,2605.43648798814
52,1719.995397723929,4324.973896660105,4346.320472873942,2604.978498936176,2626.3250751500127
53,1740.4015323100314,4346.320472873942,4367.18738547732,2605.918940563911,2626.785853167289
54,1792.298564420249,4367.18738547732,4388.884780086772,2574.8888210570713,2596.5862156665225
55,1875.7898260713264,4388.884780086772,4410.603666939036,2513.094954015445,2534.8138408677096
56,1880.7381695756785,4410.603666939036,4434.644947685496,2529.8654973633575,2553.9067781098174
57,1886.9741130292825,4434.644947685496,4458.022317327754,2547.6708346562136,2571.0482042984713
58,1970.7449272434153,4458.022317327754,4479.835725464121,2487.2773900843385,2509.0907982207063
59,1992.8399527722293,4479.835725464121,4501.33098045756,2486.995772691892,2508.4910276853307
60,2083.4725708950145,4501.33098045756,4523.788809694544,2417.8584095625456,2440.31623879953
61,2116.1879769067714,4523.788809694544,4544.972667850749,2407.600832787773,2428.7846909439772
62,2120.816727558467,4544.972667850749,4567.894674457804,2424.1559402922817,2447.0779468993373
63,2122.3170373885387,4567.894674457804,4589.34176794459,2445.5776370692656,2467.0247305560515
64,2149.2065119674166,4589.34176794459,4610.368543781535,2440.1352559771735,2461.162031814118
65,2174.120702919391,4610.368543781535,4631.6687575953165,2436.2478408621437,2457.5480546759254
66,2235.417899295339,4631.6687575953165,4653.60628382136,2396.2508582999776,2418.1883845260213
67,2259.2477020201227,4653.60628382136,4674.657780088679,2394.3585818012375,2415.4100780685562
68,2347.6154548558425,4674.657780088679,4697.433096565501,2327.0423252328364,2349.8176417096583
69,2348.9727063040673,4697.433096565501,4720.011900581614,2348.4603902614335,2371.039194277547
70,2363.951846303443,4720.011900581614,4741.520990289942,2356.0600542781713,2377.5691439864995
71,2376.260115824926,4741.520990289942,4762.962968267695,2365.2608744650165,2386.702852442769
