task_id,submit_time,first_start_time,completion_time,waiting_time,turnaround_time
0,4.283981783428388,340.3899823139693,366.06927809224385,336.10600053054094,361.7852963088155
1,4.880694457261984,366.06927809224385,389.2163072536971,361.18858363498185,384.3356127964351
2,8.622536223337471,389.2163072536971,410.9902032326247,380.5937710303596,402.36766700928723
3,13.919631408043248,410.9902032326247,433.5344429920699,397.07057182458146,419.61481158402665
4,17.295738661445377,433.5344429920699,457.8993292759444,416.2387043306245,440.603590614499
5,19.925184612129097,457.8993292759444,480.9879239510085,437.9741446638153,461.0627393388794
6,23.234482712531623,480.9879239510085,502.6659344147231,457.75344123847685,479.43145170219145
7,26.11652944900135,502.6659344147231,525.2202297161605,476.54940496572175,499.1037002671591
8,29.810304095394777,525.2202297161605,546.7572120140578,495.4099256207657,516.946907918663
9,35.75923935573903,546.7572120140578,570.9551065872695,510.99797265831876,535.1958672315304
10,42.13317815271462,570.9551065872695,594.2510117004897,528.8219284345548,552.117833547775
11,44.95549966293983,594.2510117004897,617.482987017491,549.2955120375499,572.5274873545512
12,58.224878579739595,617.482987017491,639.139901490071,559.2581084377514,580.9150229103313
13,58.77001757559558,639.139901490071,662.9784651707198,580.3698839144754,604.2084475951242
14,63.761513513728254,662.9784651707198,684.8164757202651,599.2169516569916,621.0549622065369
15,65.73400890755113,684.8164757202651,706.5043374012496,619.082466812714,640.7703284936985
16,68.11358858267259,706.5043374012496,728.6360946606185,638.390748818577,660.5225060779459
17,69.49638882163005,728.6360946606185,751.5612760494735,659.1397058389884,682.0648872278434
18,72.9104196086145,751.5612760494735,772.6089039753463,678.650856440859,699.6984843667318
19,75.52621795775612,772.6089039753463,795.2218271206405,697.0826860175902,719.6956091628844
20,77.03349636195061,795.2218271206405,817.1676267097976,718.1883307586899,740.134130347847
21,81.00346049428785,817.1676267097976,838.5127228210952,736.1641662155097,757.5092623268073
22,86.26376225067393,838.5127228210952,859.5346897552993,752.2489605704212,773.2709275046253
23,90.39348993227695,859.5346897552993,883.8727200935866,769.1411998230224,793.4792301613097
24,91.64332351518546,883.8727200935866,906.1027842472579,792.2293965784012,814.4594607320724
25,96.85899405460337,906.1027842472579,927.7469132851149,809.2437901926545,830.8879192305116
26,99.43391969065024,927.7469132851149,950.3934691856887,828.3129935944647,850.9595494950385
27,101.70259176283258,950.3934691856887,971.9292190979506,848.6908774228561,870.2266273351181
28,105.50734501950292,971.9292190979506,993.0965529392745,866.4218740784477,887.5892079197715
29,109.61334329799543,993.0965529392745,1013.9941626499678,883.483209641279,904.3808193519724
30,115.7825771436255,1013.9941626499678,1036.4462295483138,898.2115855063423,920.6636524046883
31,116.84329818794859,1036.4462295483138,1057.7351494740035,919.6029313603652,940.8918512860549
32,123.49457118923637,1057.7351494740035,1081.2442296455886,934.2405782847671,957.7496584563522
33,126.1887184998864,1081.2442296455886,1102.8599847267653,955.0555111457022,976.671266226879
34,126.90693117591287,1102.8599847267653,1125.3085542629744,975.9530535508525,998.4016230870616
35,127.69169819784136,1125.3085542629744,1146.7806044529464,997.6168560651331,1019.088906255105
36,130.86461848171564,1146.7806044529464,1168.477324814656,1015.9159859712307,1037.6127063329404
37,131.26525735040326,1168.477324814656,1191.1260708282973,1037.2120674642526,1059.860813477894
38,135.42726867848654,1191.1260708282973,1212.2968786667373,1055.6988021498107,1076.8696099882507
39,136.47558070180372,1212.2968786667373,1232.9140389870192,1075.8212979649336,1096.4384582852156
40,138.33002644034852,1232.9140389870192,1254.048971266606,1094.5840125466707,1115.7189448262575
41,140.00860745628157,1254.048971266606,1276.5570004890944,1114.0403638103244,1136.5483930328128
42,145.8392564502441,1276.5570004890944,1299.297182412007,1130.7177440388502,1153.4579259617628
43,150.3350911242846,1299.297182412007,1320.4823552082564,1148.9620912877224,1170.1472640839718
44,156.46339736343597,1320.4823552082564,1342.352416605809,1164.0189578448205,1185.889019242373
45,157.7382967455279,1342.352416605809,1363.4010845135238,1184.614119860281,1205.662787767996
46,160.87822940270212,1363.4010845135238,1386.9188815067794,1202.5228551108216,1226.0406521040773
47,161.22936015992144,1386.9188815067794,1409.6916812370803,1225.6895213468579,1248.4623210771588
